Name,Current Price,Price Change %,24h High,24h Low
Bitcoin,78282,-0.13337,79230,77523
Ethereum,2451.36,-0.44677,2488.52,2432.33
Tether,0.999701,-0.00486,0.999904,0.999649
BNB,687.72,-0.3172,694.22,683.9
XRP,1.38,0.26433,1.4,1.36
USDC,0.999836,0.00011,1.0,0.999739
Solana,102.28,-1.09505,104.9,101.41
TRON,0.325546,-2.30038,0.334031,0.325524
Figure Heloc,1.013,-3.51674,1.056,1.002
Hyperliquid,84.02,2.84928,85.29,81.3
